fatigued30,lat,lon
fatigued30, 40.776541, -74.054912 
fatigued30, 40.776541, -74.042859 
fatigued30, 40.776541, -74.030805 
fatigued30, 40.776541, -74.018751 
fatigued30, 40.776541, -74.006698 
fatigued30, 40.776541, -73.994644 
fatigued30, 40.776541, -73.886162 
fatigued30, 40.776541, -73.874108 
fatigued30, 40.776541, -73.765626 
fatigued30, 40.776541, -73.753572 
fatigued30, 40.776541, -73.741519 
fatigued30, 40.776541, -73.729465 
fatigued30, 40.776541, -73.717411 
fatigued30, 40.776541, -73.705358 
fatigued30, 40.786105, -74.211609 
fatigued30, 40.786105, -74.163395 
fatigued30, 40.786105, -74.151341 
fatigued30, 40.786105, -74.139287 
fatigued30, 40.786105, -74.127234 
fatigued30, 40.786105, -74.115180 
fatigued30, 40.786105, -74.103127 
fatigued30, 40.786105, -74.091073 
fatigued30, 40.786105, -74.079019 
fatigued30, 40.786105, -74.066966 
fatigued30, 40.786105, -74.054912 
fatigued30, 40.786105, -74.042859 
fatigued30, 40.786105, -74.030805 
fatigued30, 40.786105, -74.018751 
fatigued30, 40.786105, -74.006698 
fatigued30, 40.786105, -73.994644 
fatigued30, 40.786105, -73.982591 
fatigued30, 40.786105, -73.934376 
fatigued30, 40.786105, -73.874108 
fatigued30, 40.786105, -73.801787 
fatigued30, 40.786105, -73.789733 
fatigued30, 40.786105, -73.777679 
fatigued30, 40.786105, -73.765626 
fatigued30, 40.786105, -73.753572 
fatigued30, 40.786105, -73.741519 
fatigued30, 40.786105, -73.729465 
fatigued30, 40.786105, -73.717411 
fatigued30, 40.786105, -73.705358 
fatigued30, 40.786105, -73.693304 
fatigued30, 40.795669, -74.211609 
fatigued30, 40.795669, -74.163395 
fatigued30, 40.795669, -74.151341 
fatigued30, 40.795669, -74.139287 
fatigued30, 40.795669, -74.127234 
fatigued30, 40.795669, -74.115180 
fatigued30, 40.795669, -74.103127 
fatigued30, 40.795669, -74.091073 
fatigued30, 40.795669, -74.079019 
fatigued30, 40.795669, -74.066966 
fatigued30, 40.795669, -74.054912 
fatigued30, 40.795669, -74.042859 
fatigued30, 40.795669, -74.030805 
fatigued30, 40.795669, -74.018751 
fatigued30, 40.795669, -74.006698 
fatigued30, 40.795669, -73.994644 
fatigued30, 40.795669, -73.982591 
fatigued30, 40.795669, -73.801787 
fatigued30, 40.795669, -73.789733 
fatigued30, 40.795669, -73.777679 
fatigued30, 40.795669, -73.765626 
fatigued30, 40.795669, -73.753572 
fatigued30, 40.795669, -73.741519 
fatigued30, 40.795669, -73.729465 
fatigued30, 40.795669, -73.717411 
fatigued30, 40.795669, -73.705358 
fatigued30, 40.795669, -73.693304 
fatigued30, 40.795669, -73.681251 
fatigued30, 40.805233, -74.199555 
fatigued30, 40.805233, -74.175448 
fatigued30, 40.805233, -74.163395 
fatigued30, 40.805233, -74.151341 
fatigued30, 40.805233, -74.139287 
fatigued30, 40.805233, -74.127234 
fatigued30, 40.805233, -74.115180 
fatigued30, 40.805233, -74.103127 
fatigued30, 40.805233, -74.091073 
fatigued30, 40.805233, -74.079019 
fatigued30, 40.805233, -74.066966 
fatigued30, 40.805233, -74.054912 
fatigued30, 40.805233, -74.042859 
fatigued30, 40.805233, -74.030805 
fatigued30, 40.805233, -74.018751 
fatigued30, 40.805233, -74.006698 
fatigued30, 40.805233, -73.994644 
fatigued30, 40.805233, -73.982591 
fatigued30, 40.805233, -73.801787 
fatigued30, 40.805233, -73.789733 
fatigued30, 40.805233, -73.777679 
fatigued30, 40.805233, -73.765626 
fatigued30, 40.805233, -73.753572 
fatigued30, 40.805233, -73.741519 
fatigued30, 40.805233, -73.729465 
fatigued30, 40.805233, -73.717411 
fatigued30, 40.805233, -73.705358 
fatigued30, 40.805233, -73.693304 
fatigued30, 40.805233, -73.681251 
fatigued30, 40.814797, -74.175448 
fatigued30, 40.814797, -74.163395 
fatigued30, 40.814797, -74.151341 
fatigued30, 40.814797, -74.139287 
fatigued30, 40.814797, -74.127234 
fatigued30, 40.814797, -74.115180 
fatigued30, 40.814797, -74.103127 
fatigued30, 40.814797, -74.091073 
fatigued30, 40.814797, -74.079019 
fatigued30, 40.814797, -74.066966 
fatigued30, 40.814797, -74.054912 
fatigued30, 40.814797, -74.042859 
fatigued30, 40.814797, -74.030805 
fatigued30, 40.814797, -74.018751 
fatigued30, 40.814797, -74.006698 
fatigued30, 40.814797, -73.994644 
fatigued30, 40.814797, -73.982591 
fatigued30, 40.814797, -73.898215 
fatigued30, 40.814797, -73.789733 
fatigued30, 40.814797, -73.765626 
fatigued30, 40.814797, -73.753572 
fatigued30, 40.814797, -73.741519 
fatigued30, 40.814797, -73.729465 
fatigued30, 40.814797, -73.717411 
fatigued30, 40.814797, -73.705358 
fatigued30, 40.814797, -73.693304 
fatigued30, 40.814797, -73.681251 
fatigued30, 40.814797, -73.669197 
fatigued30, 40.824361, -74.187502 
fatigued30, 40.824361, -74.175448 
fatigued30, 40.824361, -74.163395 
fatigued30, 40.824361, -74.151341 
fatigued30, 40.824361, -74.139287 
fatigued30, 40.824361, -74.127234 
fatigued30, 40.824361, -74.115180 
fatigued30, 40.824361, -74.103127 
fatigued30, 40.824361, -74.091073 
fatigued30, 40.824361, -74.079019 
fatigued30, 40.824361, -74.066966 
fatigued30, 40.824361, -74.054912 
fatigued30, 40.824361, -74.042859 
fatigued30, 40.824361, -74.030805 
fatigued30, 40.824361, -74.018751 
fatigued30, 40.824361, -74.006698 
fatigued30, 40.824361, -73.994644 
fatigued30, 40.824361, -73.982591 
fatigued30, 40.824361, -73.970537 
fatigued30, 40.824361, -73.958483 
fatigued30, 40.824361, -73.946430 
fatigued30, 40.824361, -73.922323 
fatigued30, 40.824361, -73.886162 
fatigued30, 40.824361, -73.837947 
fatigued30, 40.824361, -73.777679 
fatigued30, 40.824361, -73.765626 
fatigued30, 40.824361, -73.753572 
fatigued30, 40.824361, -73.741519 
fatigued30, 40.824361, -73.729465 
fatigued30, 40.824361, -73.717411 
fatigued30, 40.824361, -73.705358 
fatigued30, 40.824361, -73.693304 
fatigued30, 40.824361, -73.681251 
fatigued30, 40.824361, -73.669197 
fatigued30, 40.824361, -73.657143 
fatigued30, 40.833925, -74.199555 
fatigued30, 40.833925, -74.187502 
fatigued30, 40.833925, -74.175448 
fatigued30, 40.833925, -74.163395 
fatigued30, 40.833925, -74.151341 
fatigued30, 40.833925, -74.139287 
fatigued30, 40.833925, -74.127234 
fatigued30, 40.833925, -74.115180 
fatigued30, 40.833925, -74.103127 
fatigued30, 40.833925, -74.091073 
fatigued30, 40.833925, -74.079019 
fatigued30, 40.833925, -74.066966 
fatigued30, 40.833925, -74.054912 
fatigued30, 40.833925, -74.042859 
fatigued30, 40.833925, -74.030805 
fatigued30, 40.833925, -74.018751 
fatigued30, 40.833925, -74.006698 
fatigued30, 40.833925, -73.994644 
fatigued30, 40.833925, -73.982591 
fatigued30, 40.833925, -73.970537 
fatigued30, 40.833925, -73.958483 
fatigued30, 40.833925, -73.874108 
fatigued30, 40.833925, -73.837947 
fatigued30, 40.833925, -73.753572 
fatigued30, 40.833925, -73.741519 
fatigued30, 40.833925, -73.729465 
fatigued30, 40.833925, -73.717411 
fatigued30, 40.833925, -73.705358 
fatigued30, 40.833925, -73.693304 
fatigued30, 40.833925, -73.681251 
fatigued30, 40.833925, -73.669197 
fatigued30, 40.833925, -73.657143 
fatigued30, 40.843489, -74.211609 
fatigued30, 40.843489, -74.199555 
fatigued30, 40.843489, -74.187502 
fatigued30, 40.843489, -74.175448 
fatigued30, 40.843489, -74.163395 
fatigued30, 40.843489, -74.151341 
fatigued30, 40.843489, -74.139287 
fatigued30, 40.843489, -74.127234 
fatigued30, 40.843489, -74.115180 
fatigued30, 40.843489, -74.103127 
fatigued30, 40.843489, -74.091073 
fatigued30, 40.843489, -74.079019 
fatigued30, 40.843489, -74.066966 
fatigued30, 40.843489, -74.054912 
